position,company,location,description,link
Data Scientist 2,eBay Inc.,"San Jose, CA","With more than 165 million active users globally - eBay is a global commerce leader connecting buyers and sellers around the world. We have a vibrant marketplaces platform with over 1 billion listings for sale at any given time and ~$3000 worth of items bought every second across a wide ranging array of products such as smartphones, watches, car parts, wedding items, toys and many more.

Our vision is to identify opportunities accretive to the product roadmaps that can drive transformative change in the customer experience and result in significant business growth.

We achieve this by partnering closely with the product and engineering teams - with a strong customer focussed and data driven decision making culture. We mine the largest datasets in the world of e-Commerce and use best in class analytic and big data techniques to extract impactful insights.

We are looking to hire an analytics & insights leader to partner with the Structured Data Product team. Structured Data serves as eBays critical enabler for shopping and selling experience.

This leader will have the unique opportunity to influence decision making of the Structured Data roadmap with their insights and thought leadership. To be successful in this role:

The leader would have to strike a balance between being able to guide and influence the thinking and vision of the overall team while at the same time be extremely comfortable doing actual hands-on analyses using tools & packages such as SQL, R, Python, Tableau etc.This leader needs to possess not only super strong technical skills to turn big data in Teradata and Hadoop into actionable insights, but also big picture thinking to connect the dots and evaluate how the insights impact eBays ecosystem.In addition to delivering insights on existing Product & Tech initiatives, successful leaders will come up with innovative product growth opportunities based on insights and create momentum behind them by bringing along senior leaders in the company.This leader will be exposed to almost all domains of eBay business on both buying and selling sides because Structured Data serves as the infrastructure and enabler for all. Proactive collaboration and effective communication are critical to the success of this role as well as the structured data initiative.Strong analytical acumen with thought leadership and critical thinking.Proven track record of turning insights into product growth opportunities in prior roles with increasing scope and responsibilities. Preferably in a leading technology companies with 7 to 10 years of experience. Great articulation skills - ability to explain complex analyses and insights into simple termsStrong background in ecommerce product experience.Strong technical skills to turn the big data in Teradata and Hadoop into actionable insights. Hands-on ability in using SQL, R, Python, Tableau etc.Strong quantitative background with Bachelors degree in Computer Science, Math, Economics, Physics, Engineering. Masters degrees preferred.Good experience with both descriptive and inferential statistics ability to build basic prototype models.Experience with site experimentation (A/B testing) is a plus.

This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookies

View our privacy policy

View our accessibility info

eBay Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at talent@ebay.com. We will make every effort to respond to your request for disability assistance as soon as possible.

For more information see:

EEO is the Law Poster

EEO is the Law Poster Supplement



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=208882&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2d2430bd&cb=1528219022219&jobListingId=2760227370
Data Scientist,Kensho,"Los Angeles, CA","A data scientist at Kensho is passionate about one thing: data. The successful candidate will have extensive experience applying a range of econometrics/statistics models to a diverse set of data. You should enjoy moving beyond the theoretic confines of academia to applying your tradecraft in the real world and producing data driven products that will be used by decision makers throughout the global banking industry and beyond. The ideal candidate is precise and detail oriented. Most importantly, a Kenshō data scientist is excited at the opportunity to work in a lean, tight-knit startup bringing transparency to some of the hardest problems on the planet.What Youll Do:


Conduct original research on some of the most interesting datasets - both proprietary and open sourceIdentify, research, prototype and build predictive productsAnalyze, transform, structure and crunch financial data that is growing in size, diversity and complexityWrite production-ready code to identify interesting outliers, anomalies, correlations and associationsWrite tests to ensure the robustness and reliability of the team's productionized models

What We Look For:

Advanced degree in Computer Science, Statistics, Economics or related quantitative field3+ years of experience in data analysis or similar roleAt least one core programming expertise, such as python (iPython, NumPy, SciPy, Pandas) or RExperience with advanced machine learning, natural language process and statistics model Strong statistical knowledge and intuition, especially for applying analysis to real dataStrong interest on capital market & economics theory

How to Really Get Our Attention:

Major contributor at a top company with big dataIndividual researchSignificant experience at a top financial analytics company or hedge fundYour github account showing entrepreneurial yet practical initiative

Technologies We Like:

Advanced statistics & statistical programming language like python, R, and MATLABPython and specifically Numpy, SciPy & Pandas, scikit-learn, TensorFlow, TheanoData stores like Postgresql, ElasticSearch and various NoSQL alternative

Perks:

Medical, Dental and Vision insurance with 100% premium coveredUnlimited vacation daysPaid Parental Leave401(k) plan with employer matchFree snacks and drinks

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin.
kensho.com



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=319171&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_5d42120b&cb=1528219024425&jobListingId=2661582104
Data Scientist,Automation Anywhere,"San Jose, CA","DescriptionData Scientist

Do you want to make an impact? Do you want to change the world? Come join us in our quest for automation! McKinsey Global Institute ranked automation of knowledge work as #2 in their top 12 disruptive technologies that will transform life, business, and the global economy. We are driving the adoption of robotic process automation technology in leading Fortune 1000 and other companies across more than 90 countries.

The Bot Insight team is made up of engineers intensely focused on the problem of analyzing large quantities of business and operational data. Our primary product, is the industry first analytics solution designed for bots and integrates with our Robotic Process Automation (RPA) solution to help customers in their effort to automate their business.

The Challenge

We are looking for a Data Scientist who will use the latest AI technology to build innovative models for extracting useful information from the existing data.

About the Role

As a key member of the group, you will have the opportunity to shape our ML strategy:

Detection, recognition and clustering problems in dataApply expert software development skills to a wide range of ML-related projectsHelp us build a large corpus of statistical models predicting future behaviorHelp us build our production service, scaling to extremely large data sets Develop algorithms to extract structure from existing data Use statistical techniques to analyze the performance of various experiments and competing algorithms

The Ideal Candidate

PhD or MS in Computer Science or related technical field with 6-8 years of applied experienceStrong background in one or more of the following areas: deep learning, machine learningExperience creating and using advanced machine learning algorithms and statistics: regression, simulation, modeling, scenario analysisStrong experience deploying systems into production, at scaleExperience with Spark ML frameworkCoding knowledge and experience with at least one of the languages: Java, C++, C#Experience querying databases using SQLGood communication skills




            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=356317&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e105d7c7&cb=1528219026626&jobListingId=2783306672
Data Scientist,Thumbtack,"San Francisco, CA","Have you ever tried to hire a plumber? How about a house cleaner? If you have, chances are it took you way longer than it should. In the era of instant-everything, its crazy that you still have to waste an entire afternoon researching, calling and vetting local service professionals whenever you need one. The market for hiring them is huge $700B in the US alone but the process is inefficient and largely offline.

Thumbtack is transforming this experience end-to-end, building a marketplace that matches millions of people with local pros for almost any project. In making these connections, not only do our customers get more done every day, our pros are able to grow their businesses and make a living doing what theyre great at.About the Data Science TeamAt Thumbtack, the Data Science team combines large-scale data with machine learning to shape our product that serves millions of customers and professionals. Along the way, we leverage cutting-edge data and machine learning infrastructure built on TensorFlow, Spark and BigQuery.

On Data Science, our focus is on the data problems that reside at the core of our marketplace. These include problems like matching customers to pros, pricing, ranking, supply & demand management, detecting spam, and a variety of natural language processing tasks.About the RoleAs a Data Scientist, you will partner with a large cross-functional group of engineers, product managers and other data scientists to solve some of the most challenging data science problems we face at Thumbtack.

We're looking for data scientists with deep expertise in machine learning, statistics, optimization, and/or building data products. Our process gives you full ownership over the projects you tackle, so you should be a person who dreams big, then executes well.Responsibilities

Play a key role in architecting anding deploy machine learning systems to production
Analyze a wide variety of data: structured and unstructured, observational and experimental, to drive system designs and product implementations
Design and execute experiments, collect and analyze test data to guide launch decisions
Advise engineering and product teams on product modeling problems and statistical practices

Must-Have Qualifications

M.S. or equivalent experience in Computer Science, Engineering, Statistics, or other relevant technical field
2+ years of industry experience
Strong knowledge of machine learning techniques, including regression/classification, optimization.
The ability to connect technical work to product impact in a cross-functional team
Expert knowledge of a statistical computing language such as Python or R
Knowledge of probability and statistics, including experimental design, predictive modeling, optimization, and causal inference
Excellent written and verbal technical communication skills

Nice-to-Have Qualifications

Experience in Deep Learning
Experience in NLP
Experience productionizing machine learning models and/or large-scale distributed systems
Experience with Spark, TensorFlow and Keras
Advanced degree in Computer Science, Engineering, Statistics, or other relevant technical field




            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=334495&tgt=APPLY_START&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_f8230198&cb=1528219028840&jobListingId=2552505526
Data Scientist,Tubular Labs,"Mountain View, CA","Tubular Labs is at the forefront of the digital video revolution, providing media companies, brand marketers, and agencies, such as Comedy Central, Maker Studios, Activision, Google, and Twitch.tv, with the actionable insights they need to make better content and distribution decisions. In everything we do, we strive to build the best possible product. Our goal is to combine simplicity and power to deliver an awesome user experience. In order to accomplish this, Tubular needs to provide its customers and the industry at large with compelling video engagement insights that cannot be found elsewhere. Tubular has already built the world’s largest video engagement database with over 2.5M creators and 1B videos as well as billions of comments, tweets, and likes across 20+ different video platforms. The Data Scientist will help to lead the effort to combine that database with other sources of information to generate insights and analytics that make Tubular the industry leader in actionable video intelligence. The Data Scientist will be responsible for key projects in Tubular’s data science program, from the compute systems utilized, to the implementation and operation of Tubular’s data insights systems. The Data Scientist will be as much as an hands-on contributor as every other engineer, in addition to doing exploratory data analysis, research of algorithms and modeling, error analysis, and communication of results. This is a real greenfield opportunity for the right candidate to make a name for themselves building industry leading data science.WHAT YOU WILL DODevelop systems and practices that enables Tubular to leverage cutting edge data mining and machine learning techniquesDevelop solutions that provide our customers with cutting edge features and tools for video intelligenceCreate statistical models of video engagement and audience behaviors that power compelling insights for Tubular customers and the industry at largeImplement the systems and code necessarily to accomplish data modeling and analysis needs of Tubular - this role is as much engineering as it is scienceAdvise Tubular employees on how to leverage data science in the digital video marketInteract with Tubular customers directly, providing them with custom insights and acting on their feedback about Tubular’s video intelligence productsWE ARE LOOKING FOR SCIENTIST ENGINEERS WITHPh.D. in a quantitative science (e.g. physics, astronomy), machine learning, statistics, data mining, or a related field, or an M.S. with at least 4 years of relevant industry experienceExperience implementing and operating production scale software systems that implement sophisticated machine learning or data mining algorithmsProficiency in Java, C++, Python, or similar object oriented programming languages Experience in technical projects from conception to productionHistory of publishing papers on machine learning or data mining a major plusWHAT DO WE OFFERChance to play with the hottest firms in media and technologyCompetitive compensation and equityDaily catered lunches, snacks, and other stuff to help you get through the dayA 401(k) plan to help you plan for your futureFlexible PTOFREE health insurance plans, dental and vision packages (3 out of 4 plans) to fit your needs to ensure you’re happy and healthyCommuter benefits that make getting to and from work a breezeAwesome work environment



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=304942&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_720092e2&cb=1528219030949&jobListingId=2682461034
Staff Data Scientist - Business Analytics,Intuit,"San Francisco, CA","OverviewWe are looking for a hands-on Staff Analyst in the Data Analytics & Science team. Someone who is a creative problem solver with a passion for customer experience and for delivering advanced data-driven solutions. You will work alongside customer experience leaders and product managers to define, build and shape the future of the customer experience across Intuit’s ecosystem. We are seeking a Staff Analyst who will partner closely with Customer Success/Care leaders, product management, data engineering, data scientists and analysts to drive and execute across boundaries using data-driven practices. As a senior member of the analytics team, you will have a strong track record of combining advanced analytics skills, knowledge of customer care and/or product analytics and exceptional analytical acumen. Responsibilities: - Key thought-partner with business stakeholders. Suggest appropriate analysis, ideas and data points to help drive business decisions - Partner with leadership to prioritize areas of opportunity to drive growth and improved customer retention - Lead and execute analytics problems end-to-end. Translate complex business requirements into a roadmap with key milestones and deliverables - Leads teams in complex analytical initiatives, developing tracking, combining data from multiple sources to extract meaning, reconcile assumptions, and identify logical path for action - Understand the current ecosystems, historical customer behaviors, and long-term trends in order to identify ways to improve and communicate the necessary information to key partners - Partner with cross-functional teams including Customer Care, Product, Marketing, Engineering, Finance and Analytics to design and build tools to improve upon customer experience - Democratize data by building and socializing decision tools (dashboards, reports); build key data sets/pipelines to empower operational and exploratory analysis - Provide insights to the leadership team on impact of strategic initiatives on the key metricsResponsibilities..Qualifications..



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=236370&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_614062b3&cb=1528219033248&jobListingId=2758081093
Data Scientist,American Century Investments,"Mountain View, CA","The Disciplined Equity Research Group at American Century Investments is looking for a savvy data scientist with a passion for the data-driven underpinnings of quantitative investing. The applicant will be part of a nimble and talented fintech team, working together towards innovation and investment success. The work you do will directly contribute to enhancing the team’s research capabilities and stock-picking algorithms, which underlie over $14 billion in assets under management.

In this role, you will contribute to a variety of research initiatives, which include information retrieval, text mining, and machine learning. You will also design complex data processes and build analytics tools impacting all levels of the quantitative investment process.

The position is based out of Mountain View, CA.

Responsibilities

Research and develop information retrieval techniques that add structure to unstructured dataImplement machine learning algorithms that extract meaningful economic insight from large data setsAnalyze stock-selection algorithms and portfolio construction methodologies

Qualifications

B.S. or M.S. in Computer Science, Statistics, Applied Mathematics, Economics, Business, or other computationally intensive field5 years of hands on experience with unstructured data, web-scraping, machine learning, or natural language processingExperience with big data processing and cloud infrastructureAbility to aggregate, manipulate, and visualize complex dataQuantitative finance experience, including time-series analysis, financial databases for equities, and portfolio analysis/construction conceptsExperience with R, Python, SQL is preferred.Ability to communicate technical findings and work within a team environment

We look forward to hearing from you!

EOE Policy Statement: American Century Investments believes all individuals are entitled to equal employment opportunity and advancement opportunities without regard to race, religious creed, color, sex, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, gender, gender identity, gender expression, age for individuals forty years of age and older, military and veteran status, sexual orientation, and any other basis protected by applicable federal, state and local laws. ACI does not discriminate or adopt any policy that discriminates against an individual or any group of individuals on any of these bases.



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=284697&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a26d3af7&cb=1528219035474&jobListingId=2685562921
Data Scientist,C3 IoT,"Redwood City, CA","In this capacity, you will participate in the definition of new analytics capabilities able to provide our customers with the information they need to make proper decisions to support our customers in operating the internet of things (IoT). In addition, you will help find the appropriate machine learning / data mining algorithms to answer these questions. Finally, you will be responsible for implementing this into the product and making it available to our customers.

Qualified candidates will have an in-depth knowledge of most common machine learning techniques and their application. You will also understand the limitations of these algorithms and how to tweak them or derive from them to achieve similar results at large-scale.

Required Skills & Experience:

MS or PhD in Computer Science, Electrical Engineering, Statistics, or equivalent fieldsApplied Machine Learning experience (regression analysis, time series, probabilistic models, supervised classification and unsupervised learning)Strong mathematical background (linear algebra, calculus, probability and statistics)Experience with scalable ML (MapReduce, streaming)Experience with JavaScript and prototyping languages such as Python and R. Experience with Java and Scala is a plusKnowledge in electrical engineering and cyber-physical systems is a plusAbility to drive a project and work both independently and in a teamA portfolio of projects (GitHub, papers, etc.) is a plusSmart, motivated, can do attitude, and seeks to make a differenceExcellent verbal and written communication


C3 IoT is proud to be an Equal Opportunity and Affirmative Action Employer. We do not discriminate on the basis of any legally protected characteristics, including disabled and veteran status. Please let us know if you have a disability that requires an accommodation.Apply



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=322140&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_68692fb9&cb=1528219037521&jobListingId=2632442613
Data Scientist,GoGuardian,"El Segundo, CA","Join us in our mission to provide students with a safe and stimulating learning environment! At GoGuardian, youll get to work with interesting and motivated people and solve challenging problems in a great environment. Youll be a joining a fluid, talented, and innovative engineering team with a highly capable data infrastructure focus. At GoGuardian, we pride ourselves on bringing the very best talent to empower millions of student lives in the most impactful way.
We are hiring a highly motivated Data Scientists at varying levels to help us reshape the student learning experience. This is a hands-on, dynamic opportunity that will require building production quality models for cutting edge educational technology products. This means being part of a team that will enable GoGuardian to deliver crucial insights to students, teachers, counselors, and parents about a students educational journey.Here is what youll help us with:


Collaborating across teams to develop data products driven by business needsExtracting and transforming data in a reliable, repeatable mannerEmpirical exploration striving to identify and isolate signal from noiseBuilding machine learning models and deploying them as production services at scaleBuilding tooling to support such efforts such as unit testing, automated deployment testing, model performance tracking, etc.Communicating methods and findings in written reports, presentations, and dashboardsBuilding the best data science team in LA (as a start...)Making nerdy jokes about the android from Star Trek Next Generation

Absolute Must Haves Before Applying:

2 or more years prior experience as a data scientist and a record of delivering data science products to production. Senior Data Scientist roles are available for highly qualified candidates.An advanced degree in a quantitative field (math, statistics, engineering, science, etc.)An outstanding ability to communicate complex findings in a clear and simple manner with excellent written and oral communication skillsAdvanced skills in either R or PythonProven self-learner with either the drive or talent to learn very quicklyExperience using AWS or GCPPlenty of experience with traditional statistics and ML approachesExperience extracting data from a variety of sources in a variety of formatsKnowledge of best practices in coding/scientific projects

Bonus Points:

A PhD in quantitative fieldPublications in peer-reviewed journals demonstrating experimental design and analytics analysis excellenceExperience using Docker in productionNLP and RNN/LTSM experience




            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=316739&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fe9b4337&cb=1528219039781&jobListingId=2787987271
Data Scientist,BOLD,"San Francisco, CA","BOLD is an established and fast-growing technology company that transforms work lives. Since 2005, BOLD has delivered award-winning career services that have a meaningful and positive impact on job seekers and employers. BOLDs robust product line includes a professional resume and cover letter writing services, scientifically validated career tests, and employer tools that help companies hire, onboard, and communicate with their staff.

Position Summary:

In this critical role, youll combine your analytical and data science skills to deliver key insights to our Product and Engineering teams. You will help develop data science and machine learning techniques that can be bundled as micro-services integral to Bolds data platform. You will work with teams whose domain experience include Big Data, Business Intelligence, and core product development.

Required Responsibilities:

Leverage our rich data sets of user data to perform research, develop models and create data products with our Development & Product teams
Develop novel and scalable data systems that leverage Big Data sets and machine learning techniques to enhance user experience and engagement
Build a better understanding of our user base through exploratory and confirmatory analysis to increase user retention and B2B opportunities
Develop entity taxonomies, knowledge bases and graphing techniques to find deep insights and recommendations for users in career space
Develop deep learning techniques to do user segmentation and cohort analysis
Mentor and coach related team members

Required Qualifications:

Bachelors or Masters in a relevant technical field, such as Computer Science, Statistics, Data Science, Data Engineering, Machine Learning
3-4 years of relevant experience in Data Science and Machine Learning
Deep understanding of data analysis, statistical techniques, natural language processing and knowledge base, graph systems
Expertise in database querying (SQL, noSQL), search techniques, web services etc,
Excellent problem-solving skills
Domain expertise of data analysis tools (Python, R, Octave/MATLAB, or similar)
Fluent in a programming language (Python, Ruby, PHP, Java or similar)
Understanding of cloud computing (Amazon Web Services or Microsoft Azure)
Familiarity with the Hadoop ecosystem, including HDFS, MapReduce, Hive, and Spark
Write reusable, efficient code to automate analysis and data processes
Ability to clearly communicate complex analytical methods and results to a non-technical audience
Ability to map Data Science techniques to solve product and business problems to increase consumer and retention

About BOLD:

BOLD is a fast-paced, innovative company full of smart, committed people, who are passionate about our products and love helping people find the career of their dreams. We balance work and fun while continuing to build a successful, fast-growing company that is changing the way people get jobs.

Our vision is to revolutionize the online career world by creating transformational products that help people find the careers they love and reach their full potential.

BOLD is an equal opportunity employer. All persons will receive consideration for employment without regard to race, color, religion, gender, pregnancy, national origin, ancestry, citizenship, age, legally protected physical or mental disability, covered veteran status, status in the U.S. uniformed services, sexual orientation, gender identity or expression, marital status, genetic information or membership in any other legally protected category.

Qualified applicants with arrest and conviction records will be considered for the position in accordance with San Franciscos Fair Chance Ordinance.



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=123&ao=300584&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_410c6908&cb=1528219041930&jobListingId=2661375351
"Data Scientist, Marketing",eBay Inc.,"San Jose, CA","Looking for a company that inspires passion, courage and imagination, where you can be part of the team shaping the future of global commerce? Want to shape how millions of people buy, sell, connect, and share around the world? If youre interested in joining a purpose driven community that is dedicated to creating an ambitious and inclusive workplace, join eBay a company you can be proud to be a part of.

Do you want to have an huge impact on the largest eCommerce website? Are you interested in solving cutting edge research problems while impacting all eBay advertising channels? Does working with Big Data, cloud computing, large-scale optimization, probabilistic inference, and machine learning excite you? If you answered yes, the Marketing Science team at eBay is the right place for you. We are looking for rockstar Data Scientists to join our team.

You will be directly responsible for improving eBay's algorithms that drive customer traffic via Marketing channels. You will work on cutting-edge ML/optimization algorithms against one of the biggest datasets in the world. Youll work with world-class data scientists and engineers. Youll solve problems that have a direct impact on a multi-billion dollar business. Bring your ideas, energy, and dedication to reach and engage the next 100M eBay users.

We are developing state-of-the-art personalization technologies and optimization strategies that have a direct impact on eBay's users as well as the company's bottom line. You will be expected to research state-of-the-art machine learning, optimization, natural language processing, text mining, and other techniques, and apply them to eBay's marketing platforms. You will roll your solutions to production, analyze results offline and online, and measure site impact.

Responsibilities

Aggregate huge amount of data and information from large numbers of sources to discover patterns and features necessary to build machine learning models that match eBays inventory with customers demand via Marketing channels. Design and implement end-to-end solutions using Machine Learning, Optimization, and other advanced computer science technologies, and own live deployments to drive customer traffic to eBay.

Qualifications

PhD or MS in computer science, engineering or related field4-8 years of experience as machine learning engineer/data scientist.Excellent understanding of computer science fundamentals, data structures, and algorithms. Strong programming skills (one or more of Java, C/C++, Python).Expertise in specialized areas such as Optimization, NLP, Reinforcement Learning, Probabilistic Inference, Machine Learning, Information Retrieval, Recommendation Systems.Proven experience with large data sets and related technologies, e.g., Hadoop, Pig, Spark. Knowledge of SQL and NoSQL is required.Expert level experience in at least one of the ML learning software (R/Python/Scala/Tensor flow) is required.Good communication skills, ability to work with large cross-functional teams of technical and non-technical members and mentor others.

This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookies

View our privacy policy

View our accessibility info

eBay Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at talent@ebay.com. We will make every effort to respond to your request for disability assistance as soon as possible.

For more information see:

EEO is the Law Poster

EEO is the Law Poster Supplement



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=124&ao=208882&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ae4975a9&cb=1528219044130&jobListingId=2665020503
Data Scientist/Applied Researcher,eBay Inc.,"San Jose, CA","Looking for a company that encourages passion, courage and imagination, where you can be part of the team crafting the future of global commerce? Want to craft how millions of people buy, sell, connect, and share around the world? If youre passionate about joining a purpose driven community that is dedicated to creating an ambitious and inclusive workplace, join eBay a company you can be proud to be a part of.

You Are:

PhD or Masters in Computer Science or related technical field with 5+ years of experience working on search ranking and machine learning.Well versed in areas such as applied statistics, machine learning, natural language processing, and data mining.A leader. You have years of experience mentoring junior researchers and developing a concept to a product.Proficient with distributed systems like Hadoop and SPARK. Youre not necessarily an expert, but you have experience processing large datasets in such frameworks.A polyglot programmer. You probably have a favorite language like Scala, Python or R but you can jump in and write some Java or C as needed.Results oriented. Research is phenomenal but at the end of the day you want to see your creation live and breathe.Join the Search Science team at eBay!

You will:

Be directly responsible for improving search recall and ranking via query understanding and machine learned ranking models that power the end-end search experience at eBay.Showcase the spectrum of value in the worlds most diverse ecommerce inventory, by improving whole page relevance, query recommendations, spell corrections, synonym/acronym expansions, and query rewrites.Conceptualize, code, deploy, and iterate on designs from prototypes all the way through to production systems.Analyze petabytes of real-world behavioral data to understand patterns and trends.Transform data insights into actionable reports, targeting algorithms, and model features.Provide technical leadership in statistical analysis, data mining, machine learning, NLP, and information retrieval.Work jointly with architecture, engineering, quality engineering, and operations teams to deliver complex applications.Focus on our biggest opportunities in search, convert them into applied science problem statements, and then develop end-to-end solutions.Directly see the results of your applied research improving and powering the experience of eBays core search platform across the globe.

This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookies

View our privacy policy

View our accessibility info

eBay Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at talent@ebay.com. We will make every effort to respond to your request for disability assistance as soon as possible.

For more information see:

EEO is the Law Poster

EEO is the Law Poster Supplement



            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=125&ao=208882&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_09f1395f&cb=1528219046396&jobListingId=2720845638
Data Scientist,"LegalZoom.com, Inc.","Glendale, CA","LegalZoom.com is seeking a Jr. Data Scientist to help with our Data Science efforts. We are seeking a highly-motivated individual with experience in Python and SQL to help deliver data science at LegalZoom. Work with us to employ state of the art techniques in machine learning, deep learning, and probabilistic programming. This position will supports a number of predictive models, data solutions, data processing and manipulation, as well as other scientific functions used by data scientists and business analysts.

What you’ll do:

Work with the data scientists to develop a Python codebase for predictive and prescriptive modeling, along with the development of other data science capabilities.
Develop data solutions using multiple sources, such as SQL, Google Analytics, and other platform API’s
Develop and maintain our Python platform codebase for LegalZoom using Python scientific packages such as Numpy, Pandas, Keras, Theano, Tensorflow, PyMC3
Refactor current predictive models, and extract commonly used functions into a reusable set of packages and libraries
Manage the codebase using Github
Manage the environment using Anaconda
Help enforce software best practices, and work with others to deploy new models to our production servers.
Work with the business to apply scientific methods and to evolve data science solutions
Support and extend existing predictive models for customer LTV, marketing forecast, subscription retention, micro-segmentation, etc.
Apply agile approaches for proof-of-concept requirements. Using iterative methods to help drive and refine information requirements, mockups, and prototyping

Qualifications:


At least a B.A., in either Computer Sciences, Mathematics, Statistics, or a similar discipline.
Exceptional communication skills and an ability to effectively discuss and present technical information to analytics, engineers, and business users.
At least 2 years of experience in Python
Knowledge of deep learning frameworks, Keras, Theano, Tensorflow
Experience with probabilistic programming using PyMC or PyMC3
Good SQL experience to extract and manage data from SQL Server
Experience with Excel and/or Tableau
Strong analytical and quantitative skills, with strong attention to detail
Experience with the software development lifecycle
Experience managing projects with Github and Anaconda
Ability to manage multiple, competing priorities


LegalZoom is an Equal Opportunity Employer, dedicated to diversity.

We are unable to accept applicants who currently or in the future will require a work Visa.Required Skills

Required Experience

Job Location

Glendale, US-CA




            Read moreSee All",https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=335970&s=58&guid=00000163d0f326e39c5c41d1b65770a3&src=GD_JOB_VIEW&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9737b57c&cb=1528219048592&jobListingId=2710983269
